floor,total_area,living_area,kitchen_area,year,flat_status,flat_type,metro,metro_minutes,description,price
11,37.3,24.1,7.2,2023,1,2-комн,"Гражданский проспект, Девяткино, Академическая",12,"новостройка бизнес-класса, небольшая кухня, высокий этаж с видом на город, транспортная доступность на машине, дом сдан, заезжай и живи, просторная двухкомнатная квартира",6500000
2,38.5,9.0,16.0,2021,1,1-комн,"Парнас, Проспект Просвещения, Озерки",6,"новый дом комфорт-класса, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, однокомнатная с балконом",6500000
1,56.68,21.9,18.4,2026,0,2-комн,"Рыбацкое, Обухово, Пролетарская",19,"новостройка бизнес-класса, просторная кухня-гостиная, первый этаж без балкона, транспортная доступность на машине, строящийся объект, сдача скоро, двушка с евроремонтом",6325520
20,32.27,11.3,15.0,2024,0,1-комн,"Академическая, Гражданский проспект, Девяткино",6,"новый дом комфорт-класса, просторная кухня-гостиная, высокий этаж с видом на город, рядом с метро, строящийся объект, сдача скоро, однокомнатная с балконом",6337828
8,50.0,30.0,9.4,1975,1,2-комн,"Шушары, Дунайская, Обухово",19,"дореволюционный дом с высокими потолками, небольшая кухня, уютный этаж в тихом доме, транспортная доступность на машине, дом сдан, заезжай и живи, двушка с евроремонтом",6500000
4,45.22,13.8,18.5,2026,0,1-комн,"Рыбацкое, Обухово, Пролетарская",18,"новый дом комфорт-класса, просторная кухня-гостиная, средний этаж, транспортная доступность на машине, строящийся объект, сдача скоро, однокомнатная квартира с хорошим ремонтом",6334101
4,42.0,29.0,6.0,1962,1,3-комн,"Московская, Ленинский проспект, Звездная",4,"старый фонд требует ремонта, небольшая кухня, средний этаж, большая жилая площадь, в шаговой доступности от метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",6350000
3,125.0,12.0,16.0,2004,1,3-комн,"Черная речка, Чкаловская, Крестовский остров",6,"современный монолитный дом, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",160000000
7,162.6,59.8,38.4,2017,1,3-комн,"Чкаловская, Крестовский остров, Горьковская",5,"современный монолитный дом, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",145000000
2,59.2,22.3,21.3,2026,0,2-комн,"Выборгская, Площадь Ленина, Лесная",6,"новостройка бизнес-класса, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, строящийся объект, сдача скоро, двухкомнатная квартира раздельные комнаты",21803360
6,24.0,13.0,3.0,2019,1,Студия,"Комендантский проспект, Озерки, Пионерская",6,"современный монолитный дом, небольшая кухня, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, студия с открытой планировкой",6000000
2,71.06,23.0,23.9,2025,0,2-комн,"Черная речка, Лесная, Выборгская",5,"новый дом комфорт-класса, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, строящийся объект, сдача скоро, двушка с евроремонтом",25389738
9,79.72,46.2,13.9,2022,1,3-комн,"Лесная, Черная речка, Пионерская",5,"новостройка с современной отделкой, кухня хорошей площади, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",20700000
5,24.7,14.0,4.0,2019,1,Студия,"Шушары, Звездная, Купчино",14,"современный монолитный дом, небольшая кухня, средний этаж, транспортная доступность на машине, дом сдан, заезжай и живи, компактная студия евроремонт",3600000
2,110.4,38.0,46.8,2016,1,2-комн,"Крестовский остров, Зенит, Василеостровская",5,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, просторная двухкомнатная квартира",222000000
2,34.8,19.8,6.7,2025,0,1-комн,"Балтийская, Фрунзенская, Технологический институт",4,"новый дом комфорт-класса, небольшая кухня, средний этаж, в шаговой доступности от метро, строящийся объект, сдача скоро, однокомнатная квартира с хорошим ремонтом",14538465
3,81.6,34.0,25.0,2020,1,2-комн,"Крестовский остров, Чкаловская, Спортивная",6,"новостройка бизнес-класса, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, двушка с евроремонтом",62000000
4,153.7,60.6,48.9,2018,1,3-комн,"Чкаловская, Крестовский остров, Спортивная",19,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, уютный этаж в тихом доме, транспортная доступность на машине, дом сдан, заезжай и живи, трёшка с хорошей планировкой",72900000
11,38.2,10.0,17.0,2023,1,1-комн,"Приморская, Василеостровская, Крестовский остров",9,"новостройка с современной отделкой, просторная кухня-гостиная, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",13580000
4,34.0,14.6,9.2,1917,1,1-комн,"Чернышевская, Площадь Ленина, Гостиный двор",5,"историческое здание сталинской постройки, небольшая кухня, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, светлая однушка",15000000
2,206.0,119.1,43.1,1720,1,5-комн,"Василеостровская, Адмиралтейская, Спасская",5,"историческое здание сталинской постройки, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи",92700000
6,27.2,15.2,3.7,2024,0,1-комн,"Новочеркасская, Площадь Александра Невского, Ладожская",5,"новостройка с современной отделкой, небольшая кухня, средний этаж, в шаговой доступности от метро, строящийся объект, сдача скоро, однокомнатная с балконом",11518561
2,45.4,14.2,18.2,2027,0,1-комн,"Чкаловская, Петроградская, Черная речка",3,"новый дом комфорт-класса, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, строящийся объект, сдача скоро, однокомнатная квартира с хорошим ремонтом",30444270
5,39.66,21.8,5.6,2024,0,1-комн,"Василеостровская, Спортивная, Горный институт",8,"новостройка с современной отделкой, небольшая кухня, уютный этаж в тихом доме, рядом с метро, строящийся объект, сдача скоро, однокомнатная с балконом",19863618
2,51.68,11.6,17.5,2026,0,1-комн,"Выборгская, Лесная, Площадь Ленина",6,"новостройка бизнес-класса, просторная кухня-гостиная, средний этаж, рядом с метро, строящийся объект, сдача скоро, однокомнатная с балконом",20299904
4,60.0,32.0,11.0,1917,1,2-комн,"Московские ворота, Электросила, Фрунзенская",4,"дореволюционный дом с высокими потолками, кухня хорошей площади, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, двушка с евроремонтом",12450000
5,61.93,26.3,17.3,2024,0,2-комн,"Василеостровская, Спортивная, Горный институт",8,"новый дом комфорт-класса, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, строящийся объект, сдача скоро, двушка с евроремонтом",34244928
7,31.7,16.7,7.0,1978,1,1-комн,"Проспект Просвещения, Озерки, Политехническая",5,"старый фонд требует ремонта, небольшая кухня, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, однокомнатная с балконом",5500000
2,54.1,18.9,17.7,2027,0,2-комн,"Приморская, Горный институт, Василеостровская",5,"новостройка бизнес-класса, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, строящийся объект, сдача скоро, двухкомнатная квартира раздельные комнаты",16809573
8,46.7,14.6,20.0,2012,1,1-комн,"Удельная, Пионерская, Озерки",6,"улучшенная планировка, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, светлая однушка",15480000
6,35.0,19.6,6.0,1973,1,1-комн,"Ленинский проспект, Проспект Ветеранов, Автово",9,"старый фонд требует ремонта, небольшая кухня, средний этаж, рядом с метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",4800000
2,76.5,30.8,25.5,2024,0,2-комн,"Новочеркасская, Площадь Александра Невского, Ладожская",5,"новостройка с современной отделкой, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, строящийся объект, сдача скоро, просторная двухкомнатная квартира",23441933
2,93.8,25.8,36.3,2020,1,1-комн,"Чернышевская, Площадь Ленина, Выборгская",5,"новостройка с современной отделкой, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",79730000
3,94.1,52.7,12.3,1917,1,3-комн,"Василеостровская, Спортивная",3,"дореволюционный дом с высокими потолками, кухня хорошей площади, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",17000000
2,25.73,15.7,5.0,2027,0,1-комн,"Чкаловская, Спортивная, Петроградская",4,"новостройка бизнес-класса, небольшая кухня, уютный этаж в тихом доме, в шаговой доступности от метро, строящийся объект, сдача скоро, светлая однушка",15571000
7,53.6,27.6,7.7,2025,0,2-комн,"Балтийская, Фрунзенская, Технологический институт",4,"новостройка с современной отделкой, небольшая кухня, средний этаж, в шаговой доступности от метро, строящийся объект, сдача скоро, двушка с евроремонтом",18950601
1,91.0,56.0,25.0,1905,1,4-комн,"Чернышевская, Площадь Восстания, Маяковская",6,"старый фонд требует ремонта, просторная кухня-гостиная, первый этаж без балкона, рядом с метро, дом сдан, заезжай и живи, большая четырёхкомнатная дизайнерский ремонт",40800000
5,55.0,34.1,8.1,1958,1,2-комн,"Елизаровская, Ломоносовская, Площадь Александра Невского",5,"старый фонд требует ремонта, небольшая кухня, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",10990000
5,212.3,142.0,20.3,2008,1,4-комн,"Петроградская, Черная речка, Чкаловская",14,"улучшенная планировка, просторная кухня-гостиная, средний этаж, большая жилая площадь, транспортная доступность на машине, дом сдан, заезжай и живи, большая четырёхкомнатная дизайнерский ремонт",101990000
3,45.8,30.0,7.0,1963,1,2-комн,"Ломоносовская, Пролетарская, Улица Дыбенко",4,"старый фонд требует ремонта, небольшая кухня, средний этаж, большая жилая площадь, в шаговой доступности от метро, дом сдан, заезжай и живи, двушка с евроремонтом",6300000
4,141.0,71.5,20.0,2018,1,3-комн,"Чернышевская, Маяковская, Владимирская",12,"современный монолитный дом, просторная кухня-гостиная, средний этаж, транспортная доступность на машине, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",79900000
1,18.2,11.7,1.5,1974,1,Студия,"Пионерская, Комендантский проспект, Старая Деревня",7,"историческое здание сталинской постройки, небольшая кухня, первый этаж без балкона, рядом с метро, дом сдан, заезжай и живи, уютная студия для молодой пары",3499000
4,61.5,35.1,18.6,2014,1,1-комн,"Спортивная, Чкаловская, Василеостровская",6,"современный монолитный дом, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",18800000
11,36.3,18.1,10.8,2000,1,1-комн,"Комендантский проспект, Старая Деревня, Пионерская",6,"современный монолитный дом, кухня хорошей площади, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, светлая однушка",8200000
6,40.4,11.6,17.0,2023,1,1-комн,"Петроградская, Горьковская, Чернышевская",5,"новостройка бизнес-класса, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, светлая однушка",24846000
2,150.6,84.7,17.0,2001,1,4-комн,"Чернышевская, Площадь Ленина, Площадь Восстания",7,"современный монолитный дом, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, многокомнатная квартира тихий центр",77890000
3,66.6,15.4,29.3,2021,1,1-комн,"Пионерская, Площадь Мужества, Политехническая",5,"новый дом комфорт-класса, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, светлая однушка",21854124
3,52.76,23.6,17.5,2027,0,2-комн,"Чкаловская, Спортивная, Петроградская",4,"новостройка бизнес-класса, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, строящийся объект, сдача скоро, двушка с евроремонтом",25817127
14,53.7,30.2,8.0,1979,1,2-комн,"Купчино, Звездная, Московская",7,"историческое здание сталинской постройки, небольшая кухня, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, просторная двухкомнатная квартира",8750000
9,61.4,20.5,15.0,2023,0,2-комн,"Лесная, Черная речка, Выборгская",3,"новостройка с современной отделкой, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, строящийся объект, сдача скоро, просторная двухкомнатная квартира",18005550
5,139.1,86.5,8.0,2020,1,3-комн,"Чернышевская, Площадь Ленина, Выборгская",5,"новый дом комфорт-класса, небольшая кухня, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",180830000
11,33.66,9.1,11.1,2022,1,1-комн,"Купчино, Звездная, Шушары",9,"новостройка с современной отделкой, кухня хорошей площади, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",4799000
3,71.0,45.5,10.2,1860,1,2-комн,"Спасская, Сенная площадь, Адмиралтейская",15,"старый фонд требует ремонта, кухня хорошей площади, средний этаж, транспортная доступность на машине, дом сдан, заезжай и живи, просторная двухкомнатная квартира",21950000
6,42.0,13.6,13.5,2023,1,1-комн,"Удельная, Академическая, Озерки",5,"новый дом комфорт-класса, кухня хорошей площади, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",18900000
6,121.9,83.4,8.0,2020,1,3-комн,"Чернышевская, Площадь Ленина, Выборгская",5,"новый дом комфорт-класса, небольшая кухня, уютный этаж в тихом доме, большая жилая площадь, в шаговой доступности от метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",157007200
3,39.3,14.1,12.7,2021,1,1-комн,"Крестовский остров, Чкаловская, Спортивная",3,"новостройка с современной отделкой, кухня хорошей площади, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, однокомнатная с балконом",19118473
2,50.6,26.8,12.3,2027,0,2-комн,"Чкаловская, Петроградская, Черная речка",3,"новый дом комфорт-класса, кухня хорошей площади, уютный этаж в тихом доме, в шаговой доступности от метро, строящийся объект, сдача скоро, двушка с евроремонтом",40332865
11,24.49,11.7,3.9,2026,0,Студия,"Рыбацкое, Обухово, Пролетарская",19,"новый дом комфорт-класса, небольшая кухня, высокий этаж с видом на город, транспортная доступность на машине, строящийся объект, сдача скоро, уютная студия для молодой пары",3278226
3,34.68,18.1,6.0,1959,1,1-комн,"Рыбацкое, Обухово, Пролетарская",17,"старый фонд требует ремонта, небольшая кухня, средний этаж, транспортная доступность на машине, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",3750000
4,19.9,8.9,5.0,2025,0,Студия,Академическая,19,"новый дом комфорт-класса, небольшая кухня, уютный этаж в тихом доме, транспортная доступность на машине, строящийся объект, сдача скоро, компактная студия евроремонт",3341210
13,19.9,9.2,5.0,2020,0,Студия,"Академическая, Гражданский проспект, Девяткино",10,"новостройка с современной отделкой, небольшая кухня, высокий этаж с видом на город, рядом с метро, строящийся объект, сдача скоро, уютная студия для молодой пары",3293450
2,20.6,9.0,5.0,2025,0,Студия,Академическая,19,"новостройка с современной отделкой, небольшая кухня, уютный этаж в тихом доме, транспортная доступность на машине, строящийся объект, сдача скоро, уютная студия для молодой пары",3394880
11,26.89,13.6,3.2,2026,0,Студия,"Рыбацкое, Обухово, Пролетарская",18,"новостройка бизнес-класса, небольшая кухня, высокий этаж с видом на город, транспортная доступность на машине, строящийся объект, сдача скоро, студия с открытой планировкой",3451545
1,20.32,9.2,5.0,2024,0,Студия,"Академическая, Гражданский проспект, Девяткино",6,"новый дом комфорт-класса, небольшая кухня, первый этаж без балкона, рядом с метро, строящийся объект, сдача скоро, уютная студия для молодой пары",3775456
2,30.8,15.1,10.2,2021,1,1-комн,"Шушары, Купчино, Дунайская",16,"новостройка с современной отделкой, кухня хорошей площади, уютный этаж в тихом доме, транспортная доступность на машине, дом сдан, заезжай и живи, однокомнатная с балконом",3792600
16,21.5,9.1,5.3,2025,0,Студия,Академическая,19,"новостройка с современной отделкой, небольшая кухня, высокий этаж с видом на город, транспортная доступность на машине, строящийся объект, сдача скоро, уютная студия для молодой пары",3708750
3,19.2,7.7,5.0,2025,0,Студия,"Академическая, Гражданский проспект, Девяткино",6,"новый дом комфорт-класса, небольшая кухня, уютный этаж в тихом доме, рядом с метро, строящийся объект, сдача скоро, студия с открытой планировкой",3454080
3,22.1,10.9,5.0,2025,0,Студия,"Академическая, Гражданский проспект, Девяткино",6,"новостройка с современной отделкой, небольшая кухня, уютный этаж в тихом доме, рядом с метро, строящийся объект, сдача скоро, компактная студия евроремонт",3637660
8,20.56,10.0,5.0,2024,0,Студия,"Академическая, Гражданский проспект, Девяткино",6,"новостройка с современной отделкой, небольшая кухня, уютный этаж в тихом доме, рядом с метро, строящийся объект, сдача скоро, студия с открытой планировкой",3799488
4,27.68,13.6,3.2,2026,0,Студия,"Рыбацкое, Обухово, Пролетарская",18,"новостройка с современной отделкой, небольшая кухня, средний этаж, транспортная доступность на машине, строящийся объект, сдача скоро, уютная студия для молодой пары",3832379
8,20.56,10.0,5.0,2024,0,Студия,"Академическая, Гражданский проспект, Девяткино",6,"новостройка с современной отделкой, небольшая кухня, средний этаж, рядом с метро, строящийся объект, сдача скоро, уютная студия для молодой пары",3758368
2,22.7,10.9,5.0,2025,0,Студия,"Академическая, Гражданский проспект, Девяткино",6,"новостройка бизнес-класса, небольшая кухня, уютный этаж в тихом доме, рядом с метро, строящийся объект, сдача скоро, уютная студия для молодой пары",3613840
2,19.7,7.7,5.0,2025,0,Студия,"Академическая, Гражданский проспект, Девяткино",6,"новый дом комфорт-класса, небольшая кухня, уютный этаж в тихом доме, рядом с метро, строящийся объект, сдача скоро, студия с открытой планировкой",3419920
7,24.45,13.3,3.5,2025,0,Студия,"Шушары, Дунайская, Обухово",11,"новый дом комфорт-класса, небольшая кухня, средний этаж, транспортная доступность на машине, строящийся объект, сдача скоро, уютная студия для молодой пары",3789750
5,309.2,184.0,21.7,1832,1,Многокомнатна,"Чернышевская, Площадь Ленина, Площадь Восстания",6,"историческое здание сталинской постройки, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи",105000000
2,241.8,124.1,37.2,2009,1,4-комн,"Крестовский остров, Чкаловская, Спортивная",1,"современный монолитный дом, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, большая четырёхкомнатная дизайнерский ремонт",98900000
4,195.0,127.2,34.1,2006,1,5-комн,"Чкаловская, Крестовский остров, Петроградская",14,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, уютный этаж в тихом доме, большая жилая площадь, транспортная доступность на машине, дом сдан, заезжай и живи",145900000
6,250.0,230.0,13.0,1998,1,3-комн,"Горьковская, Петроградская, Площадь Ленина",3,"типовая панельная застройка, кухня хорошей площади, уютный этаж в тихом доме, большая жилая площадь, в шаговой доступности от метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",100000000
7,163.7,95.4,12.1,2004,1,4-комн,"Площадь Александра Невского, Площадь Восстания, Маяковская",7,"дом 2000-х годов в хорошем состоянии, кухня хорошей площади, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, четырёхкомнатная квартира премиум класса",180000000
8,160.0,70.1,37.1,2022,1,5-комн,"Чкаловская, Петроградская, Крестовский остров",10,"новый дом комфорт-класса, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи",103200000
5,178.0,51.0,53.0,2017,1,4-комн,"Чкаловская, Крестовский остров, Горьковская",5,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, многокомнатная квартира тихий центр",230000000
5,159.2,47.0,70.0,2018,1,3-комн,"Чкаловская, Крестовский остров, Спортивная",22,"улучшенная планировка, просторная кухня-гостиная, уютный этаж в тихом доме, транспортная доступность на машине, дом сдан, заезжай и живи, трёшка с хорошей планировкой",130000000
3,181.3,65.7,68.5,1825,1,3-комн,"Площадь Ленина, Чернышевская, Горьковская",19,"дореволюционный дом с высокими потолками, просторная кухня-гостиная, средний этаж, транспортная доступность на машине, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",129997000
2,337.8,202.4,10.3,1902,1,Многокомнатна,"Чернышевская, Площадь Ленина, Владимирская",5,"историческое здание сталинской постройки, кухня хорошей площади, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи",135000000
6,154.8,56.5,65.6,2020,1,3-комн,"Крестовский остров, Чкаловская, Спортивная",6,"новостройка с современной отделкой, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",154800000
6,251.6,115.0,40.0,1908,1,3-комн,"Чернышевская, Площадь Александра Невского, Площадь Восстания",6,"дореволюционный дом с высокими потолками, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",130000000
7,237.3,89.2,59.2,2022,1,4-комн,"Крестовский остров, Спортивная, Василеостровская",6,"новостройка бизнес-класса, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, большая четырёхкомнатная дизайнерский ремонт",183275400
2,218.0,101.0,28.0,2013,1,3-комн,"Крестовский остров, Чкаловская, Спортивная",4,"улучшенная планировка, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",220000000
3,277.7,154.8,33.1,1915,1,4-комн,"Спортивная, Горьковская, Чкаловская",6,"дореволюционный дом с высокими потолками, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, многокомнатная квартира тихий центр",111080000
3,250.0,112.0,44.0,2011,1,5-комн,"Чкаловская, Петроградская, Крестовский остров",4,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи",215000000
1,227.0,130.7,35.6,2022,1,4-комн,"Крестовский остров, Чкаловская, Горьковская",5,"новостройка бизнес-класса, просторная кухня-гостиная, первый этаж без балкона, в шаговой доступности от метро, дом сдан, заезжай и живи, четырёхкомнатная квартира премиум класса",169999000
5,162.0,97.0,20.0,2017,1,3-комн,"Крестовский остров, Чкаловская, Василеостровская",6,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",140000000
8,342.0,88.9,205.1,2018,1,4-комн,"Чкаловская, Крестовский остров, Спортивная",22,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, уютный этаж в тихом доме, транспортная доступность на машине, дом сдан, заезжай и живи, большая четырёхкомнатная дизайнерский ремонт",259000000
6,248.7,216.8,20.0,1852,1,Квартир,"Гостиный двор, Невский проспект, Адмиралтейская",7,"старый фонд требует ремонта, просторная кухня-гостиная, уютный этаж в тихом доме, большая жилая площадь, рядом с метро, дом сдан, заезжай и живи",97000000
6,146.4,81.7,17.0,2015,1,4-комн,"Чернышевская, Площадь Восстания, Маяковская",5,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, большая четырёхкомнатная дизайнерский ремонт",103000000
4,31.6,17.6,5.6,1962,1,1-комн,"Выборгская, Лесная, Площадь Ленина",5,"старый фонд требует ремонта, небольшая кухня, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, однокомнатная с балконом",5050000
9,31.58,14.9,8.8,2025,0,1-комн,"Шушары, Дунайская, Обухово",11,"новостройка с современной отделкой, небольшая кухня, средний этаж, транспортная доступность на машине, строящийся объект, сдача скоро, однокомнатная квартира с хорошим ремонтом",4894900
12,22.0,11.0,6.0,2023,1,Студия,"Звездная, Купчино, Шушары",10,"новостройка бизнес-класса, небольшая кухня, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, компактная студия евроремонт",4880000
3,45.1,25.8,8.5,2021,1,2-комн,"Шушары, Купчино, Дунайская",15,"новый дом комфорт-класса, небольшая кухня, средний этаж, транспортная доступность на машине, дом сдан, заезжай и живи, просторная двухкомнатная квартира",5086200
8,22.64,10.0,5.6,2025,0,Студия,"Рыбацкое, Обухово, Пролетарская",5,"новостройка с современной отделкой, небольшая кухня, уютный этаж в тихом доме, в шаговой доступности от метро, строящийся объект, сдача скоро, студия с открытой планировкой",5046207
10,22.7,11.7,5.0,2026,0,Студия,"Ломоносовская, Елизаровская, Улица Дыбенко",6,"новостройка бизнес-класса, небольшая кухня, высокий этаж с видом на город, рядом с метро, строящийся объект, сдача скоро, компактная студия евроремонт",4975840
9,32.54,12.2,10.3,2025,0,1-комн,"Купчино, Шушары, Обухово",13,"новостройка с современной отделкой, кухня хорошей площади, уютный этаж в тихом доме, транспортная доступность на машине, строящийся объект, сдача скоро, однокомнатная квартира с хорошим ремонтом",4780939
3,25.6,13.9,5.0,2025,0,Студия,"Ломоносовская, Елизаровская, Улица Дыбенко",6,"новостройка бизнес-класса, небольшая кухня, уютный этаж в тихом доме, рядом с метро, строящийся объект, сдача скоро, студия с открытой планировкой",4999680
2,27.4,12.5,5.1,2024,1,Студия,"Купчино, Московская, Звездная",20,"новостройка с современной отделкой, небольшая кухня, уютный этаж в тихом доме, транспортная доступность на машине, дом сдан, заезжай и живи, студия с открытой планировкой",5000000
14,22.3,10.0,5.4,2025,0,Студия,"Рыбацкое, Обухово, Пролетарская",5,"новый дом комфорт-класса, небольшая кухня, высокий этаж с видом на город, в шаговой доступности от метро, строящийся объект, сдача скоро, уютная студия для молодой пары",5048653
3,22.7,10.2,5.0,2026,0,Студия,"Московская, Звездная, Купчино",15,"новый дом комфорт-класса, небольшая кухня, уютный этаж в тихом доме, транспортная доступность на машине, строящийся объект, сдача скоро, студия с открытой планировкой",4916820
4,22.5,11.6,5.1,2024,0,Студия,"Купчино, Московская, Звездная",20,"новостройка с современной отделкой, небольшая кухня, уютный этаж в тихом доме, транспортная доступность на машине, строящийся объект, сдача скоро, компактная студия евроремонт",5050000
